Dust bag capacity (Liters),Text,,dust_bag_capacity,N,Y,"Handheld Vacuum Cleaners
Robotic Vacuum Cleaners
Stick Vacuum Cleaners
Wet & Dry Vacuum Cleaners
Cannister Vacuum Cleaners"
Image Resolution (Pixels),Text,,image_resolution,N,Y,Camera Accessories
Moter Power (Watt),Text,,motor_power,N,Y,"Automatic
Blenders & Juicers"
Number of electric stove (head),Text,head,number_of_electric_stove_head,N,Y,"Electric stove / Gas Range
Hobs"
Output Power (Watts),Text,,output_power_watts,N,Y,Other
Power (Watt),Text,,power_watt,N,Y,"Cannister Vacuum Cleaners
Coffee Maker
Dry Irons
Electric barbecue grill
Electric Fan
Electric Kettle
Electric Pans
Electric Pots
Front Loader
Hair Curlers
Hair Dryers
Handheld Vacuum Cleaners
Microwave
Multi-Purpose Cookers
Oven
Refrigerator 1 Door
Refrigerator 2 Doors
Refrigerator 3 Doors
Refrigerator Side-By-Side
Rice Cookers
Robotic Vacuum Cleaners
Sandwich Maker
Steam Irons
Stick Vacuum Cleaners
Stream Generators
Toaster
Top Loader 2 Tubs
Washer & Dryer Combination
Water Boilers
Water Heaters
Wet & Dry Vacuum Cleaners"
Writing speed,Text,,writing_speed,N,Y,Flash Drives
Capacity,select,,capacity,Y,Y,"Camera Accessories
Flash Drives
External Hard Disks
Automatic"
Capacity (Cubic),select,,capacity_cubic,Y,Y,"Refrigerator 1 Door
Refrigerator 2 Doors
Refrigerator 3 Doors
Refrigerator Side-By-Side
Wine & Beverage Cooler
Freezers
Refrigerators Inverter"
Capacity (GB),select,,capacity_gb,Y,Y,"Memory Cards
Accessories for Computers
External Hard Disks
Flash Drives"
Capacity (kg) drying,select,,capacity_kg_drying,Y,Y,Washer & Dryer Combination
Capacity (Liter),select,,capacity_liter,Y,Y,"Electric Fan
Microwave
Oven
Coffee Maker
Electric Kettle
Electric Pots
Rice Cookers"
Capacity (Liters),select,,capacity_liters,Y,Y,"Electric Fan
Oven
Rice Cookers
Hood & HOB"
Cord Length,Text,,cord_length,N,Y,"Diskettes
Hand Free Kits
Headphones
Headphones
Microphone"
Cord Length (m.),Text,,cord_length_m,N,Y,"Dry Irons
Handheld Vacuum Cleaners
Other
Steam Irons
Stream Generators
Wet & Dry Vacuum Cleaners"
Dimension,Text,,dimension,N,Y,"Home Theater 5.1Ch
Hoods
Hobs"
