Audio Output,Text,,audio_output,N,Y,QLED TV
Android,Text/Dropdown,,android3D,Y,Y,"Smart & 3D TV
Smart TVs
LED TVs"
Automatic ice-making system,Text,,automatic_ice_making_system,N,Y,"Refrigerator 1 Door
Refrigerator 2 Doors
Refrigerator 3 Doors
Refrigerator 4 Doors up
Refrigerator Side-By-Side"
Adjusting the wind level,Text,,adjusting_the_wind_level,N,Y,"Electric Fan
Hair Dryers
Hoods
Tower Electric Fans
Wall / Ceiling Electric Fans"
Adjustable Drying Mode,Text,,adjustable_drying_mode,N,Y,Dryer - Venting
Automatic Cooking (Programs),Text,,automatic_cooking,N,Y,"Electric Fan
Microwave
Oven"
Adjustable speed (level),Text,level,adjustable_speed,N,Y,Blenders & Juicers
Adjusting Power,Text,,adjusting_power,N,Y,Water Heaters
Air circulation system,Text,,air_circulation_system,N,Y,Hoods
Air Cleaning Mode,Text,,air_cleaning_mode,N,Y,"Air Purifiers
Air Purifiers Accessories
Wall Type (Inverter)
Wall Type (Non-inverter)
Floor/Ceiling Type (Non-inverter)

Service"
Accelerate the cooling system,Text,,accelerate_the_cooking_system,N,Y,"Floor/Ceiling Type (Inverter)
Portable Air Conditioners
Service
Wall Type (Inverter)
Wall Type (Non-inverter)"
AC ADAPTER-INPUT,Text,,ac_adapter_input,N,Y,Chargers/Wall Chargers
Automatic water level adjustment,Text,,automatic_water_adj,N,Y,"Front Loader
Washer & Dryer Combination"
Adorn Mode,Text,,adorn_mode,N,Y,Headphones
AutoRestart,Text,,auto_restart,N,Y,"Wall Type (Inverter)
Wall Type (Non-inverter)
Service
Portable Air Conditioners"
Anti Crease,Text,,anti_crease,N,Y,"Dryer - Venting
Dryer - Condensing"
Anti Crease Program,Text,,anti_crease_program,N,Y,Washer & Dryer Combination
Anti-rust coating,Text,,anti_rust_coating,N,Y,"Wall Type (Inverter)
Wall Type (Non-inverter)
Floor/Ceiling Type (Inverter)
Floor/Ceiling Type (Non-inverter)
Service"
AudioRecored,Text,,audio_recorded,N,Y,Camera Accessories
Amplify,Text,,amplify,N,Y,Amplifier
Audio Receiver,Text,,audio_receiver,N,Y,Guitars
Brightness(CD/M),Text,,brightness_cd_m,N,Y,"LED TVs
Smart & 3D TV
Smart TVs"
Built-In,Text,,built_in,N,Y,Smart TVs
Battery size,Text,,battery_size,N,Y,Microphone
