powerbuy_store_store_id,StoreCode,Name,NameEN,Description,Address,AddressEN,OpenTime,Telephone,Email,creation_time,update_time,is_active
1,00010,เซ็นทรัล ชิดลม,Central Chidlom,"",1027  เพลินจิต ลุมพินี ปทุมวัน กรุงเทพมหานคร 10330,1027  Pleonchit Lumpini Patthumwan Bangkok 10330,10.00 - 22.00,"0-2655-7021, 0-2655-7680, 0-2655-7684, 0-2655-7691","",2017-10-18 11:34:54,2017-10-25 10:53:55,1
2,00011,เซ็นทรัล ปิ่นเกล้า,Central Pinklao,"",7/1  บรมราชชนนี อรุณอมรินทร์ บางกอกน้อย กรุงเทพมหานคร 10700,7/1  บรมราชชนนี อรุณอมรินทร์ บางกอกน้อย กรุงเทพมหานคร 10700,10.30 - 22.00,"0-2884-8053, 0-2884-8048, 0-2884-8051","",2017-10-18 11:39:07,2017-10-25 10:54:02,1
3,00012,เซ็นทรัล ลาดพร้าว,Central Ladprao,"",1691  พหลโยธิน  ลาดยาว จตุจักร กรุงเทพมหานคร 10900,1691  Phaholyothin Lat Yao Chatuchak Bangkok 10900,10.30 - 22.00,"0-2541-1832, 0-2937-1451","",2017-10-18 11:39:07,2017-10-25 10:54:08,1
4,00027,เซ็นทรัล บางนา,Central Bangna,"",585  บางนา-ตราด บางนา บางนา กรุงเทพมหานคร 10260,585  Bangna-Trad Bangna Bangna Bangkok 10260,11.00 - 22.00,0-2361-1060-2,"",2017-10-18 11:39:07,2017-10-25 10:54:17,1
5,00039,เซ็นทรัล พระราม 2,Central Rama 2,"",160  พระรามที่2 แสมดำ บางขุนเทียน กรุงเทพมหานคร 10150,"160 Central Plaza Rama 2  4th.,FL. Rama 2 Samae Dam Bangkhunthian Bangkok 10150",11.00 - 22.00,0-2872-1491-2,"",2017-10-18 11:39:07,2017-10-25 10:54:45,1
6,00096,เซ็นทรัลเวิลด์,Central World,"","4,4/1-2,4/4 เซ็นทรัลเวิลด์ ชั้น 4 โซนดี ราชดำริ ปทุมวัน ปทุมวัน กรุงเทพมหานคร 10330","4,4/1-2,4/4 Central World FL.4 Zone D Rajadamri Pathumwan Patthumwan Bangkok 10330",10.30 - 22.00,"0-2646-1222, 0-2646-1243","",2017-10-18 11:39:07,2017-10-25 10:55:28,1
7,00131,เซ็นทรัล พระราม 9,Central Rama 9,"",9/9 (ห้องเลขที่ 427 ชั้น 4) เซ็นทรัลพลาซาพระราม 9 พระราม 9 ห้วยขวาง ห้วยขวาง กรุงเทพมหานคร 10310,9/9 (Room 427 FR.4) Central Plaza Rama9 Rama9 Huai Khwang Huaikhwang Bangkok 10310,10.30 - 22.00,02-103-4983-4,"",2017-10-18 11:39:07,2017-10-25 10:55:40,1
8,00134,เมกาบางนา,Mega Bangna,"",39 หมู่ที่ 6 ห้องเลขที่ 2520  บางนา-ตราด บางแก้ว บางพลี สมุทรปราการ 10540,"39 Moo 6 , Room 2520 Fl.2  Bangna-Trad Bang Kaeo Bangphli Samut Prakan 10540",10.00 - 22.00,02-105-1520-1,"",2017-10-18 11:39:07,2017-10-25 10:55:48,1
9,00171,เซ็นทรัลเวสต์เกต,Central Westgate,"","199,199/1-2 หมู่ที่ 6   เสาธงหิน บางใหญ่ นนทบุรี 11140","199,199/1-2 Moo 6   Sao Thong Hin Bang Yai Nonthaburi 11140",10.00 - 22.00,"","",2017-10-18 11:39:07,2017-10-25 10:55:54,1
10,00174,เซ็นทรัลอีสต์วิลล์,Central East Ville,"",ลาดพร้าว ลาดพร้าว กรุงเทพมหานคร 10230,Lat Phrao Latphrao Bangkok 10230,"",02-102-5100-03,"",2017-10-18 11:39:07,2017-10-25 10:56:00,1
11,00099,PWB_- WAREHOUSE,Rangsit,"",152 หมู่ 6 รังสิต-ปทุมธานี บางพูน เมืองปทุมธานี ปทุมธานี 12000,152 Moo 6 Rangsit-Prathumtani Bang Phun Mueang Pathumthani Pathumthani 12000,"","0-2818-7070, 8180065","",2017-10-25 10:48:28,2017-10-25 10:52:58,1
12,00991,PWB_- WAREHOUSE,PWB_- WAREHOUSE(PNK),"",152 หมู่ 6 รังสิต-ปทุมธานี วังน้อย วังน้อย พระนครศรีอยุธยา 13170,152 Moo 6 Rangsit-Prathumtani Wang Noi Wong Noi Phra Nakhon Si Ayutthaya 13170,"","0-2818-7070, 8180065","",2017-10-25 10:49:02,2017-10-25 10:53:08,1
