powerbuy_store_store_id,store_code,name,description,address,villages,home_no,street,sub_district,district,province,postcode,open_time,telephone,email,is_active,creation_time,update_time
1,00010,"เซ็นทรัล ชิดลม",," 1027 เพลินจิต ลุมพินี ปทุมวัน กรุงเทพมหานคร 10330",,1027,เพลินจิต,ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,10330,"10.00 - 22.00","0-2655-7021, 0-2655-7680, 0-2655-7684, 0-2655-7691",,1,"2017-10-31 15:16:54","2017-10-31 15:17:20"
2,00011,"เซ็นทรัล ปิ่นเกล้า",," 7/1 บรมราชชนนี อรุณอมรินทร์ บางกอกน้อย กรุงเทพมหานคร 10700",,7/1,บรมราชชนนี,อรุณอมรินทร์,บางกอกน้อย,กรุงเทพมหานคร,10700,"10.30 - 22.00","0-2884-8053, 0-2884-8048, 0-2884-8051",,1,"2017-10-31 15:16:54","2017-10-31 15:17:20"
3,00012,"เซ็นทรัล ลาดพร้าว",," 1691 พหลโยธิน  ลาดยาว จตุจักร กรุงเทพมหานคร 10900",,1691,"พหลโยธิน ",ลาดยาว,จตุจักร,กรุงเทพมหานคร,10900,"10.30 - 22.00","0-2541-1832, 0-2937-1451",,1,"2017-10-31 15:16:54","2017-10-31 15:17:20"
4,00027,"เซ็นทรัล บางนา",," 585 บางนา-ตราด บางนา บางนา กรุงเทพมหานคร 10260",,585,บางนา-ตราด,บางนา,บางนา,กรุงเทพมหานคร,10260,"11.00 - 22.00",0-2361-1060-2,,1,"2017-10-31 15:16:54","2017-10-31 15:17:20"
5,00039,"เซ็นทรัล พระราม 2",," 160 พระรามที่2 แสมดำ บางขุนเทียน กรุงเทพมหานคร 10150",,160,พระรามที่2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150,"11.00 - 22.00",0-2872-1491-2,,1,"2017-10-31 15:16:54","2017-10-31 15:17:20"
6,00096,เซ็นทรัลเวิลด์,,"เซ็นทรัลเวิลด์ ชั้น 4 โซนดี 4,4/1-2,4/4 ราชดำริ ปทุมวัน ปทุมวัน กรุงเทพมหานคร 10330","เซ็นทรัลเวิลด์ ชั้น 4 โซนดี","4,4/1-2,4/4",ราชดำริ,ปทุมวัน,ปทุมวัน,กรุงเทพมหานคร,10330,"10.30 - 22.00","0-2646-1222, 0-2646-1243",,1,"2017-10-31 15:16:54","2017-10-31 15:17:20"
7,00099,"PWB_- WAREHOUSE",," 152 หมู่ 6 รังสิต-ปทุมธานี บางพูน เมืองปทุมธานี ปทุมธานี 12000",,"152 หมู่ 6",รังสิต-ปทุมธานี,บางพูน,เมืองปทุมธานี,ปทุมธานี,12000,,"0-2818-7070, 8180065",,1,"2017-10-31 15:16:54","2017-10-31 15:52:33"
8,00131,"เซ็นทรัล พระราม 9",,"เซ็นทรัลพลาซาพระราม 9 9/9 (ห้องเลขที่ 427 ชั้น 4) พระราม 9 ห้วยขวาง ห้วยขวาง กรุงเทพมหานคร 10310","เซ็นทรัลพลาซาพระราม 9","9/9 (ห้องเลขที่ 427 ชั้น 4)","พระราม 9",ห้วยขวาง,ห้วยขวาง,กรุงเทพมหานคร,10310,"10.30 - 22.00",02-103-4983-4,,1,"2017-10-31 15:16:54","2017-10-31 15:17:20"
9,00134,เมกาบางนา,," 39 หมู่ที่ 6 ห้องเลขที่ 2520 บางนา-ตราด บางแก้ว บางพลี สมุทรปราการ 10540",,"39 หมู่ที่ 6 ห้องเลขที่ 2520",บางนา-ตราด,บางแก้ว,บางพลี,สมุทรปราการ,10540,"10.00 - 22.00",02-105-1520-1,,1,"2017-10-31 15:16:54","2017-10-31 15:17:20"
10,00171,เซ็นทรัลเวสต์เกต,," 199,199/1-2 หมู่ที่ 6  เสาธงหิน บางใหญ่ นนทบุรี 11140",,"199,199/1-2 หมู่ที่ 6",,เสาธงหิน,บางใหญ่,นนทบุรี,11140,"10.00 - 22.00",,,1,"2017-10-31 15:16:54","2017-10-31 15:17:20"
11,00174,เซ็นทรัลอีสต์วิลล์,,"   ลาดพร้าว ลาดพร้าว กรุงเทพมหานคร 10230",,,,ลาดพร้าว,ลาดพร้าว,กรุงเทพมหานคร,10230,,02-102-5100-03,,1,"2017-10-31 15:16:54","2017-10-31 15:52:33"
12,00991,"PWB_- WAREHOUSE",," 152 หมู่ 6 รังสิต-ปทุมธานี วังน้อย วังน้อย พระนครศรีอยุธยา 13170",,"152 หมู่ 6",รังสิต-ปทุมธานี,วังน้อย,วังน้อย,พระนครศรีอยุธยา,13170,,"0-2818-7070, 8180065",,1,"2017-10-31 15:16:54","2017-10-31 15:52:33"
