powerbuy_store_store_id,store_code,name,description,address,open_time,telephone,email,is_active,creation_time,update_time
1,10,"เซ็นทรัล ชิดลม",,"1027  เพลินจิต ลุมพินี ปทุมวัน กรุงเทพมหานคร 10330","10.00 - 22.00","0-2655-7021, 0-2655-7680, 0-2655-7684, 0-2655-7691",,1,"2017-10-19 11:06:38","2017-10-19 11:06:38"
2,11,"เซ็นทรัล ปิ่นเกล้า",,"7/1  บรมราชชนนี อรุณอมรินทร์ บางกอกน้อย กรุงเทพมหานคร 10700","10.30 - 22.00","0-2884-8053, 0-2884-8048, 0-2884-8051",,1,"2017-10-19 11:06:38","2017-10-19 11:06:38"
3,12,"เซ็นทรัล ลาดพร้าว",,"1691  พหลโยธิน  ลาดยาว จตุจักร กรุงเทพมหานคร 10900","10.30 - 22.00","0-2541-1832, 0-2937-1451",,1,"2017-10-19 11:06:38","2017-10-19 11:06:38"
4,27,"เซ็นทรัล บางนา",,"585  บางนา-ตราด บางนา บางนา กรุงเทพมหานคร 10260","11.00 - 22.00",0-2361-1060-2,,1,"2017-10-19 11:06:38","2017-10-19 11:06:38"
5,39,"เซ็นทรัล พระราม 2",,"160  พระรามที่2 แสมดำ บางขุนเทียน กรุงเทพมหานคร 10150","11.00 - 22.00",0-2872-1491-2,,1,"2017-10-19 11:06:38","2017-10-19 11:06:38"
6,96,เซ็นทรัลเวิลด์,,"4,4/1-2,4/4 เซ็นทรัลเวิลด์ ชั้น 4 โซนดี ราชดำริ ปทุมวัน ปทุมวัน กรุงเทพมหานคร 10330","10.30 - 22.00","0-2646-1222, 0-2646-1243",,1,"2017-10-19 11:06:38","2017-10-19 11:06:38"
7,131,"เซ็นทรัล พระราม 9",,"9/9 (ห้องเลขที่ 427 ชั้น 4) เซ็นทรัลพลาซาพระราม 9 พระราม 9 ห้วยขวาง ห้วยขวาง กรุงเทพมหานคร 10310","10.30 - 22.00",02-103-4983-4,,1,"2017-10-19 11:06:38","2017-10-19 11:06:38"
8,134,เมกาบางนา,,"39 หมู่ที่ 6 ห้องเลขที่ 2520  บางนา-ตราด บางแก้ว บางพลี สมุทรปราการ 10540","10.00 - 22.00",02-105-1520-1,,1,"2017-10-19 11:06:38","2017-10-19 11:06:38"
9,171,เซ็นทรัลเวสต์เกต,,"199,199/1-2 หมู่ที่ 6   เสาธงหิน บางใหญ่ นนทบุรี 11140","10.00 - 22.00",,,1,"2017-10-19 11:06:38","2017-10-19 11:06:38"
10,174,เซ็นทรัลอีสต์วิลล์,,"ลาดพร้าว ลาดพร้าว กรุงเทพมหานคร 10230",,02-102-5100-03,,1,"2017-10-19 11:06:38","2017-10-19 11:06:38"
